epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.791,1.38155,2.89141,1.44342,0.90104,0.20173,0.45851,0.24052,1.2834,3.10197,1.42124,0.0003,0.0003,0.0003
2,479.471,1.36376,1.85072,1.42155,0.57813,0.39768,0.571,0.31912,1.37654,2.39303,1.67614,0.000600373,0.000600373,0.000600373
3,730.012,1.40721,1.62067,1.44425,0.6089,0.52857,0.62914,0.33359,1.45892,2.1368,1.69533,0.00088837,0.00088837,0.00088837
